,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,2,1
20,2,2
21,2,3
22,2,4
23,2,5
24,2,6
25,2,7
26,2,8
27,2,9
28,2,10
29,2,11
30,2,12
31,2,13
32,2,14
33,2,15
34,2,16
35,2,17
36,2,18
37,3,1
38,3,2
39,3,3
40,3,4
41,3,5
42,3,6
43,3,7
44,3,8
45,3,9
46,3,10
47,3,11
48,3,12
49,3,13
50,3,14
51,3,15
52,3,16
53,3,17
54,3,18
55,4,1
56,4,2
57,4,3
58,4,4
59,4,5
60,4,6
61,4,7
62,4,8
63,4,9
64,4,10
65,4,11
66,4,12
67,4,13
68,4,14
69,4,15
70,4,16
71,4,17
72,4,18
73,5,1
74,5,2
75,5,3
76,5,4
77,5,5
78,5,6
79,5,7
80,5,8
81,5,9
82,5,10
83,5,11
84,5,12
85,5,13
86,5,14
87,5,15
88,5,16
89,5,17
90,5,18
