,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,2,1
35,2,2
36,2,3
37,2,4
38,2,5
39,2,6
40,2,7
41,2,8
42,2,9
43,2,10
44,2,11
45,2,12
46,2,13
47,2,14
48,2,15
49,2,16
50,2,17
51,2,18
52,2,19
53,2,20
54,2,21
55,2,22
56,2,23
57,2,24
58,2,25
59,2,26
60,2,27
61,2,28
62,2,29
63,2,30
64,2,31
65,2,32
66,2,33
67,3,1
68,3,2
69,3,3
70,3,4
71,3,5
72,3,6
73,3,7
74,3,8
75,3,9
76,3,10
77,3,11
78,3,12
79,3,13
80,3,14
81,3,15
82,3,16
83,3,17
84,3,18
85,3,19
86,3,20
87,3,21
88,3,22
89,3,23
90,3,24
91,3,25
92,3,26
93,3,27
94,3,28
95,3,29
96,3,30
97,3,31
98,3,32
99,3,33
100,4,1
101,4,2
102,4,3
103,4,4
104,4,5
105,4,6
106,4,7
107,4,8
108,4,9
109,4,10
110,4,11
111,4,12
112,4,13
113,4,14
114,4,15
115,4,16
116,4,17
117,4,18
118,4,19
119,4,20
120,4,21
121,4,22
122,4,23
123,4,24
124,4,25
125,4,26
126,4,27
127,4,28
128,4,29
129,4,30
130,4,31
131,4,32
132,4,33
