,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,2,1
24,2,2
25,2,3
26,2,4
27,2,5
28,2,6
29,2,7
30,2,8
31,2,9
32,2,10
33,2,11
34,2,12
35,2,13
36,2,14
37,2,15
38,2,16
39,2,17
40,2,18
41,2,19
42,2,20
43,2,21
44,2,22
45,3,1
46,3,2
47,3,3
48,3,4
49,3,5
50,3,6
51,3,7
52,3,8
53,3,9
54,3,10
55,3,11
56,3,12
57,3,13
58,3,14
59,3,15
60,3,16
61,3,17
62,3,18
63,3,19
64,3,20
65,3,21
66,3,22
67,4,1
68,4,2
69,4,3
70,4,4
71,4,5
72,4,6
73,4,7
74,4,8
75,4,9
76,4,10
77,4,11
78,4,12
79,4,13
80,4,14
81,4,15
82,4,16
83,4,17
84,4,18
85,4,19
86,4,20
87,4,21
88,4,22
89,5,1
90,5,2
91,5,3
92,5,4
93,5,5
94,5,6
95,5,7
96,5,8
97,5,9
98,5,10
99,5,11
100,5,12
101,5,13
102,5,14
103,5,15
104,5,16
105,5,17
106,5,18
107,5,19
108,5,20
109,5,21
110,5,22
