,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,2,1
53,2,2
54,2,3
55,2,4
56,2,5
57,2,6
58,2,7
59,2,8
60,2,9
61,2,10
62,2,11
63,2,12
64,2,13
65,2,14
66,2,15
67,2,16
68,2,17
69,2,18
70,2,19
71,2,20
72,2,21
73,2,22
74,2,23
75,2,24
76,2,25
77,2,26
78,2,27
79,2,28
80,2,29
81,2,30
82,2,31
83,2,32
84,2,33
85,2,34
86,2,35
87,2,36
88,2,37
89,2,38
90,2,39
91,2,40
92,2,41
93,2,42
94,2,43
95,2,44
96,2,45
97,2,46
98,2,47
99,2,48
100,2,49
101,2,50
102,2,51
