,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,2,1
31,2,2
32,2,3
33,2,4
34,2,5
35,2,6
36,2,7
37,2,8
38,2,9
39,2,10
40,2,11
41,2,12
42,2,13
43,2,14
44,2,15
45,2,16
46,2,17
47,2,18
48,2,19
49,2,20
50,2,21
51,2,22
52,2,23
53,2,24
54,2,25
55,2,26
56,2,27
57,2,28
58,2,29
59,3,1
60,3,2
61,3,3
62,3,4
63,3,5
64,3,6
65,3,7
66,3,8
67,3,9
68,3,10
69,3,11
70,3,12
71,3,13
72,3,14
73,3,15
74,3,16
75,3,17
76,3,18
77,3,19
78,3,20
79,3,21
80,3,22
81,3,23
82,3,24
83,3,25
84,3,26
85,3,27
86,3,28
87,3,29
88,4,1
89,4,2
90,4,3
91,4,4
92,4,5
93,4,6
94,4,7
95,4,8
96,4,9
97,4,10
98,4,11
99,4,12
100,4,13
101,4,14
102,4,15
103,4,16
104,4,17
105,4,18
106,4,19
107,4,20
108,4,21
109,4,22
110,4,23
111,4,24
112,4,25
113,4,26
114,4,27
115,4,28
116,4,29
