,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,2,1
29,2,2
30,2,3
31,2,4
32,2,5
33,2,6
34,2,7
35,2,8
36,2,9
37,2,10
38,2,11
39,2,12
40,2,13
41,2,14
42,2,15
43,2,16
44,2,17
45,2,18
46,2,19
47,2,20
48,2,21
49,2,22
50,2,23
51,2,24
52,2,25
53,2,26
54,2,27
55,3,1
56,3,2
57,3,3
58,3,4
59,3,5
60,3,6
61,3,7
62,3,8
63,3,9
64,3,10
65,3,11
66,3,12
67,3,13
68,3,14
69,3,15
70,3,16
71,3,17
72,3,18
73,3,19
74,3,20
75,3,21
76,3,22
77,3,23
78,3,24
79,3,25
80,3,26
81,3,27
82,4,1
83,4,2
84,4,3
85,4,4
86,4,5
87,4,6
88,4,7
89,4,8
90,4,9
91,4,10
92,4,11
93,4,12
94,4,13
95,4,14
96,4,15
97,4,16
98,4,17
99,4,18
100,4,19
101,4,20
102,4,21
103,4,22
104,4,23
105,4,24
106,4,25
107,4,26
108,4,27
