,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,2,1
27,2,2
28,2,3
29,2,4
30,2,5
31,2,6
32,2,7
33,2,8
34,2,9
35,2,10
36,2,11
37,2,12
38,2,13
39,2,14
40,2,15
41,2,16
42,2,17
43,2,18
44,2,19
45,2,20
46,2,21
47,2,22
48,2,23
49,2,24
50,2,25
51,3,1
52,3,2
53,3,3
54,3,4
55,3,5
56,3,6
57,3,7
58,3,8
59,3,9
60,3,10
61,3,11
62,3,12
63,3,13
64,3,14
65,3,15
66,3,16
67,3,17
68,3,18
69,3,19
70,3,20
71,3,21
72,3,22
73,3,23
74,3,24
75,3,25
