,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,2,1
33,2,2
34,2,3
35,2,4
36,2,5
37,2,6
38,2,7
39,2,8
40,2,9
41,2,10
42,2,11
43,2,12
44,2,13
45,2,14
46,2,15
47,2,16
48,2,17
49,2,18
50,2,19
51,2,20
52,2,21
53,2,22
54,2,23
55,2,24
56,2,25
57,2,26
58,2,27
59,2,28
60,2,29
61,2,30
62,2,31
63,3,1
64,3,2
65,3,3
66,3,4
67,3,5
68,3,6
69,3,7
70,3,8
71,3,9
72,3,10
73,3,11
74,3,12
75,3,13
76,3,14
77,3,15
78,3,16
79,3,17
80,3,18
81,3,19
82,3,20
83,3,21
84,3,22
85,3,23
86,3,24
87,3,25
88,3,26
89,3,27
90,3,28
91,3,29
92,3,30
93,3,31
