,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,2,1
35,2,2
36,2,3
37,2,4
38,2,5
39,2,6
40,2,7
41,2,8
42,2,9
43,2,10
44,2,11
45,2,12
46,2,13
47,2,14
48,2,15
49,2,16
50,2,17
51,2,18
52,2,19
53,2,20
54,2,21
55,2,22
56,2,23
57,2,24
58,2,25
59,2,26
60,2,27
61,2,28
62,2,29
63,2,30
64,2,31
65,2,32
66,2,33
