,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,2,1
13,2,2
14,2,3
15,2,4
16,2,5
17,2,6
18,2,7
19,2,8
20,2,9
21,2,10
22,2,11
23,3,1
24,3,2
25,3,3
26,3,4
27,3,5
28,3,6
29,3,7
30,3,8
31,3,9
32,3,10
33,3,11
34,4,1
35,4,2
36,4,3
37,4,4
38,4,5
39,4,6
40,4,7
41,4,8
42,4,9
43,4,10
44,4,11
45,5,1
46,5,2
47,5,3
48,5,4
49,5,5
50,5,6
51,5,7
52,5,8
53,5,9
54,5,10
55,5,11
56,6,1
57,6,2
58,6,3
59,6,4
60,6,5
61,6,6
62,6,7
63,6,8
64,6,9
65,6,10
66,6,11
67,7,1
68,7,2
69,7,3
70,7,4
71,7,5
72,7,6
73,7,7
74,7,8
75,7,9
76,7,10
77,7,11
