,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,1,57
58,1,58
59,1,59
60,1,60
61,1,61
62,2,1
63,2,2
64,2,3
65,2,4
66,2,5
67,2,6
68,2,7
69,2,8
70,2,9
71,2,10
72,2,11
73,2,12
74,2,13
75,2,14
76,2,15
77,2,16
78,2,17
79,2,18
80,2,19
81,2,20
82,2,21
83,2,22
84,2,23
85,2,24
86,2,25
87,2,26
88,2,27
89,2,28
90,2,29
91,2,30
92,2,31
93,2,32
94,2,33
95,2,34
96,2,35
97,2,36
98,2,37
99,2,38
100,2,39
101,2,40
102,2,41
103,2,42
104,2,43
105,2,44
106,2,45
107,2,46
108,2,47
109,2,48
110,2,49
111,2,50
112,2,51
113,2,52
114,2,53
115,2,54
116,2,55
117,2,56
118,2,57
119,2,58
120,2,59
121,2,60
122,2,61
