,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,2,1
42,2,2
43,2,3
44,2,4
45,2,5
46,2,6
47,2,7
48,2,8
49,2,9
50,2,10
51,2,11
52,2,12
53,2,13
54,2,14
55,2,15
56,2,16
57,2,17
58,2,18
59,2,19
60,2,20
61,2,21
62,2,22
63,2,23
64,2,24
65,2,25
66,2,26
67,2,27
68,2,28
69,2,29
70,2,30
71,2,31
72,2,32
73,2,33
74,2,34
75,2,35
76,2,36
77,2,37
78,2,38
79,2,39
80,2,40
81,3,1
82,3,2
83,3,3
84,3,4
85,3,5
86,3,6
87,3,7
88,3,8
89,3,9
90,3,10
91,3,11
92,3,12
93,3,13
94,3,14
95,3,15
96,3,16
97,3,17
98,3,18
99,3,19
100,3,20
101,3,21
102,3,22
103,3,23
104,3,24
105,3,25
106,3,26
107,3,27
108,3,28
109,3,29
110,3,30
111,3,31
112,3,32
113,3,33
114,3,34
115,3,35
116,3,36
117,3,37
118,3,38
119,3,39
120,3,40
