"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"12","2","2","1","2","2","1","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","1","1","2","2","2","2","2","2","1","2","2","1","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","2","1","3","2","3","2"
"13","1","2","1","1","1","1","1","2","1","2","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","2","2","2","1","2","1","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","2","3","1","2","4"
"14","1","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","1","1","1","2","1","1","2","2","2","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","1","2","2","1"
"15","2","1","2","2","2","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","1","2","2","1","1","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","2","2","1","1","2","2","1","2","2","3","1","2","1"
"16","1","2","1","2","1","2","2","1","2","1","2","1","1","1","1","2","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","2","2","2","1","3"
"17","2","2","2","1","1","2","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","2","1","1","2","1","3","3","2"
"18","2","1","2","2","2","2","2","1","2","1","1","1","1","1","2","1","1","1","2","1","2","1","2","2","2","2","2","1","1","1","2","1","2","1","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","2","3","1","2","2"
"19","1","1","1","2","1","2","2","1","2","1","2","2","2","1","2","1","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","2","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","1","2"
"20","1","1","1","2","1","1","2","2","1","1","1","1","2","1","2","2","1","2","2","2","2","1","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","2","1","3","3","1"
"21","1","2","2","2","1","1","2","2","1","1","1","2","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","1","2","2","1","1","1","2","3","2","3"
"22","1","2","2","1","1","1","1","2","1","1","1","1","2","1","2","2","1","1","2","1","2","2","2","2","1","2","2","2","2","1","1","2","1","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","1","3","2","3","3"
"23","1","1","2","1","1","2","2","2","2","1","2","1","2","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","1","1","2","2","1","1","1","2","2","2","2","1","1","1","2","2","1","2","2","1","2","3","3","3","1","4"
"24","1","2","1","1","1","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","2","1","1","2","2","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","2","2","1","1","2","2","1","2","2","3","1","2","3"
"25","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","1","2","1","1","2","2","1","1","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","3","1","2","2","4"
"26","2","2","2","1","2","1","1","2","1","2","1","1","1","2","1","2","1","2","1","2","2","2","1","1","2","2","2","1","1","1","2","1","2","1","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","1","4"
"27","2","2","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","1","2","1","1","1","2","2","2","2","2","2","1","2"
"28","2","1","2","1","2","2","1","2","1","1","2","2","1","1","2","1","1","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","1","1","2","2","1","2","2","2","1","1","2","1","2","2","1","2","2","1","1","1","1","2"
"29","2","1","1","2","2","2","2","1","2","2","2","2","1","2","1","1","2","2","1","2","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","1","3","2","3","1"
"30","2","1","1","2","1","1","1","2","1","1","2","2","1","2","1","2","1","2","2","1","1","1","2","2","2","2","1","1","2","2","1","1","2","1","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","3","1","2","2","3"
"31","1","1","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","1","2","2","1","2","2","1","2","2","1","1","2","1","2","1","1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","2","1","2"
"32","2","1","2","1","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","3","2","1","3","3"
"33","1","1","2","1","1","2","2","1","2","2","1","2","2","2","2","2","1","2","2","1","2","2","2","1","1","1","1","1","1","2","1","1","2","1","2","1","1","1","1","1","1","2","2","2","2","2","1","1","2","1","3","2","3","4"
"34","2","2","2","1","2","2","1","1","2","2","2","2","1","2","1","1","2","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","1","1","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","2","1","3","3","3"
"35","1","1","1","2","2","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","1","2","1","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","2","2","2","1","1"
"36","1","1","1","1","2","1","1","2","2","1","2","2","2","2","2","1","2","1","1","1","2","1","2","1","2","1","2","1","2","1","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","2","1","3","4"
"37","2","2","2","1","1","1","1","1","2","1","2","1","2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","3","3","3","1","1"
"38","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","2","1","2","1","1","2","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","2","1","2","3","2","3"
"39","2","1","1","1","2","2","1","1","2","2","2","1","2","1","1","2","1","1","2","1","1","2","1","1","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","2","1","1","2","1","1","2","2","1","1","1","2","3","2","1"
"40","2","1","1","1","1","1","2","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","2","2","1","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","1","1"
"41","1","2","1","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","2","1","2","1","2","1","2","2","1","1","1","1","2","2","1","2","1","2","1","1","1","2","1","1","1","2","2","1","1","2","1","2","3","1","2","2"
"42","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","3","1","2","2","2"
"43","1","2","2","1","2","2","2","1","2","2","1","1","2","1","2","1","2","1","1","2","2","2","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","3","1","2","2","1"
"44","1","1","2","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","3","2","1","3","2"
"45","1","1","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","1","1","2","1","2","2","2","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","2","2","2","2","1","1","3","2","3","1"
"46","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","1","3"
"47","1","1","2","2","2","2","1","2","2","2","2","1","2","2","1","2","1","2","1","1","2","1","1","2","1","1","2","1","2","1","1","1","1","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","2","1","3","3","2"
"48","1","1","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","1","1","1","2","2","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","3","2","1","3","3"
"49","1","2","2","2","2","2","1","1","1","1","1","2","2","2","1","1","1","1","2","1","1","2","1","1","2","1","1","2","2","1","2","1","2","2","1","1","2","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","1","3"
"50","1","2","1","1","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","2","1","1","1","1","2","2","2","1","2","2","2","2","1","3","3","3","1","2"
"51","1","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","3","1","2","2","2"
"52","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","1","1"
"53","2","2","1","2","2","2","2","1","1","1","2","1","2","2","2","2","2","1","2","2","2","1","1","1","1","2","1","1","2","1","1","1","1","1","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","3","2","1","3","4"
"54","2","1","1","1","2","1","2","1","1","2","2","1","1","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","2","1","1","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","2","3","2","4"
"55","2","1","1","2","1","1","1","1","2","2","2","2","2","1","2","2","1","1","1","2","2","2","1","2","2","1","1","2","1","1","2","1","1","1","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","3","3","3","1","3"
"56","2","1","2","2","1","2","1","2","2","1","1","1","1","2","2","1","2","1","1","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","1","2","1","1","1","2","1","1","1","2","2","1","1","2","1","2","3","1","2","4"
"57","1","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","2","2","2","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","3","2","1","3","1"
"58","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","1","1","2","1","2","1","1","2","1","2","2","2","1","2","1","1","2","1","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","3","2","4"
"59","1","2","1","2","1","1","2","1","2","2","1","1","2","2","1","2","2","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","2","2","2","1","1","2","1","2","2","1","2","2","1","1","1","1","4"
"60","2","2","2","2","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","2","1","1","2","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","2","1","4"
"61","1","1","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","1","1","2","1","1","1","2","2","2","2","2","2","1","4"
"62","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","1","3","2","3","2"
"63","2","2","1","2","2","1","1","1","1","2","1","2","1","1","2","2","2","1","1","1","2","2","2","1","1","1","2","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","2","2","1","2","2","1","2","3","3","3","1","2"
"64","2","1","2","1","2","1","1","2","1","2","1","2","2","2","2","1","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","1","2","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","2","2","2","1","1"
"65","1","2","1","1","2","1","2","2","2","1","2","1","1","2","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","1","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2"
"66","1","1","1","2","2","2","2","2","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","2","1","1","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","3","3","3","1","3"
"67","1","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","2","2","1","1","1","2","2","2","2","1","1","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","3","1","2","2","4"
"68","1","2","2","1","2","2","2","2","1","1","1","1","1","2","1","1","2","2","2","1","1","1","2","1","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","3","3","3","1","1"
"69","2","2","2","1","1","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","2","2","2","1","3"
"70","2","2","1","1","1","1","2","1","1","1","1","2","1","1","2","1","2","1","2","2","1","2","2","1","2","2","1","2","1","2","2","2","2","1","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","2","1","3","3","4"
"71","2","1","1","1","2","2","2","2","1","1","1","1","2","1","2","2","2","2","1","1","1","2","1","2","2","1","1","1","1","1","1","2","2","2","2","1","1","2","1","1","2","1","1","1","1","2","1","2","2","2","1","3","3","3"
"72","2","2","1","2","1","2","2","2","1","2","1","1","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","1","2","2","2","2","1","1","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","3","2","1","3","1"
