,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,2,1
21,2,2
22,2,3
23,2,4
24,2,5
25,2,6
26,2,7
27,2,8
28,2,9
29,2,10
30,2,11
31,2,12
32,2,13
33,2,14
34,2,15
35,2,16
36,2,17
37,2,18
38,2,19
39,3,1
40,3,2
41,3,3
42,3,4
43,3,5
44,3,6
45,3,7
46,3,8
47,3,9
48,3,10
49,3,11
50,3,12
51,3,13
52,3,14
53,3,15
54,3,16
55,3,17
56,3,18
57,3,19
58,4,1
59,4,2
60,4,3
61,4,4
62,4,5
63,4,6
64,4,7
65,4,8
66,4,9
67,4,10
68,4,11
69,4,12
70,4,13
71,4,14
72,4,15
73,4,16
74,4,17
75,4,18
76,4,19
77,5,1
78,5,2
79,5,3
80,5,4
81,5,5
82,5,6
83,5,7
84,5,8
85,5,9
86,5,10
87,5,11
88,5,12
89,5,13
90,5,14
91,5,15
92,5,16
93,5,17
94,5,18
95,5,19
96,6,1
97,6,2
98,6,3
99,6,4
100,6,5
101,6,6
102,6,7
103,6,8
104,6,9
105,6,10
106,6,11
107,6,12
108,6,13
109,6,14
110,6,15
111,6,16
112,6,17
113,6,18
114,6,19
