,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,2,1
49,2,2
50,2,3
51,2,4
52,2,5
53,2,6
54,2,7
55,2,8
56,2,9
57,2,10
58,2,11
59,2,12
60,2,13
61,2,14
62,2,15
63,2,16
64,2,17
65,2,18
66,2,19
67,2,20
68,2,21
69,2,22
70,2,23
71,2,24
72,2,25
73,2,26
74,2,27
75,2,28
76,2,29
77,2,30
78,2,31
79,2,32
80,2,33
81,2,34
82,2,35
83,2,36
84,2,37
85,2,38
86,2,39
87,2,40
88,2,41
89,2,42
90,2,43
91,2,44
92,2,45
93,2,46
94,2,47
95,3,1
96,3,2
97,3,3
98,3,4
99,3,5
100,3,6
101,3,7
102,3,8
103,3,9
104,3,10
105,3,11
106,3,12
107,3,13
108,3,14
109,3,15
110,3,16
111,3,17
112,3,18
113,3,19
114,3,20
115,3,21
116,3,22
117,3,23
118,3,24
119,3,25
120,3,26
121,3,27
122,3,28
123,3,29
124,3,30
125,3,31
126,3,32
127,3,33
128,3,34
129,3,35
130,3,36
131,3,37
132,3,38
133,3,39
134,3,40
135,3,41
136,3,42
137,3,43
138,3,44
139,3,45
140,3,46
141,3,47
