,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,2,1
16,2,2
17,2,3
18,2,4
19,2,5
20,2,6
21,2,7
22,2,8
23,2,9
24,2,10
25,2,11
26,2,12
27,2,13
28,2,14
29,3,1
30,3,2
31,3,3
32,3,4
33,3,5
34,3,6
35,3,7
36,3,8
37,3,9
38,3,10
39,3,11
40,3,12
41,3,13
42,3,14
43,4,1
44,4,2
45,4,3
46,4,4
47,4,5
48,4,6
49,4,7
50,4,8
51,4,9
52,4,10
53,4,11
54,4,12
55,4,13
56,4,14
57,5,1
58,5,2
59,5,3
60,5,4
61,5,5
62,5,6
63,5,7
64,5,8
65,5,9
66,5,10
67,5,11
68,5,12
69,5,13
70,5,14
