,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,2,1
28,2,2
29,2,3
30,2,4
31,2,5
32,2,6
33,2,7
34,2,8
35,2,9
36,2,10
37,2,11
38,2,12
39,2,13
40,2,14
41,2,15
42,2,16
43,2,17
44,2,18
45,2,19
46,2,20
47,2,21
48,2,22
49,2,23
50,2,24
51,2,25
52,2,26
53,3,1
54,3,2
55,3,3
56,3,4
57,3,5
58,3,6
59,3,7
60,3,8
61,3,9
62,3,10
63,3,11
64,3,12
65,3,13
66,3,14
67,3,15
68,3,16
69,3,17
70,3,18
71,3,19
72,3,20
73,3,21
74,3,22
75,3,23
76,3,24
77,3,25
78,3,26
79,4,1
80,4,2
81,4,3
82,4,4
83,4,5
84,4,6
85,4,7
86,4,8
87,4,9
88,4,10
89,4,11
90,4,12
91,4,13
92,4,14
93,4,15
94,4,16
95,4,17
96,4,18
97,4,19
98,4,20
99,4,21
100,4,22
101,4,23
102,4,24
103,4,25
104,4,26
105,5,1
106,5,2
107,5,3
108,5,4
109,5,5
110,5,6
111,5,7
112,5,8
113,5,9
114,5,10
115,5,11
116,5,12
117,5,13
118,5,14
119,5,15
120,5,16
121,5,17
122,5,18
123,5,19
124,5,20
125,5,21
126,5,22
127,5,23
128,5,24
129,5,25
130,5,26
