,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,2,1
25,2,2
26,2,3
27,2,4
28,2,5
29,2,6
30,2,7
31,2,8
32,2,9
33,2,10
34,2,11
35,2,12
36,2,13
37,2,14
38,2,15
39,2,16
40,2,17
41,2,18
42,2,19
43,2,20
44,2,21
45,2,22
46,2,23
47,3,1
48,3,2
49,3,3
50,3,4
51,3,5
52,3,6
53,3,7
54,3,8
55,3,9
56,3,10
57,3,11
58,3,12
59,3,13
60,3,14
61,3,15
62,3,16
63,3,17
64,3,18
65,3,19
66,3,20
67,3,21
68,3,22
69,3,23
70,4,1
71,4,2
72,4,3
73,4,4
74,4,5
75,4,6
76,4,7
77,4,8
78,4,9
79,4,10
80,4,11
81,4,12
82,4,13
83,4,14
84,4,15
85,4,16
86,4,17
87,4,18
88,4,19
89,4,20
90,4,21
91,4,22
92,4,23
93,5,1
94,5,2
95,5,3
96,5,4
97,5,5
98,5,6
99,5,7
100,5,8
101,5,9
102,5,10
103,5,11
104,5,12
105,5,13
106,5,14
107,5,15
108,5,16
109,5,17
110,5,18
111,5,19
112,5,20
113,5,21
114,5,22
115,5,23
