,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,2,1
19,2,2
20,2,3
21,2,4
22,2,5
23,2,6
24,2,7
25,2,8
26,2,9
27,2,10
28,2,11
29,2,12
30,2,13
31,2,14
32,2,15
33,2,16
34,2,17
35,3,1
36,3,2
37,3,3
38,3,4
39,3,5
40,3,6
41,3,7
42,3,8
43,3,9
44,3,10
45,3,11
46,3,12
47,3,13
48,3,14
49,3,15
50,3,16
51,3,17
52,4,1
53,4,2
54,4,3
55,4,4
56,4,5
57,4,6
58,4,7
59,4,8
60,4,9
61,4,10
62,4,11
63,4,12
64,4,13
65,4,14
66,4,15
67,4,16
68,4,17
