,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,2,1
15,2,2
16,2,3
17,2,4
18,2,5
19,2,6
20,2,7
21,2,8
22,2,9
23,2,10
24,2,11
25,2,12
26,2,13
27,3,1
28,3,2
29,3,3
30,3,4
31,3,5
32,3,6
33,3,7
34,3,8
35,3,9
36,3,10
37,3,11
38,3,12
39,3,13
40,4,1
41,4,2
42,4,3
43,4,4
44,4,5
45,4,6
46,4,7
47,4,8
48,4,9
49,4,10
50,4,11
51,4,12
52,4,13
53,5,1
54,5,2
55,5,3
56,5,4
57,5,5
58,5,6
59,5,7
60,5,8
61,5,9
62,5,10
63,5,11
64,5,12
65,5,13
66,6,1
67,6,2
68,6,3
69,6,4
70,6,5
71,6,6
72,6,7
73,6,8
74,6,9
75,6,10
76,6,11
77,6,12
78,6,13
79,7,1
80,7,2
81,7,3
82,7,4
83,7,5
84,7,6
85,7,7
86,7,8
87,7,9
88,7,10
89,7,11
90,7,12
91,7,13
92,8,1
93,8,2
94,8,3
95,8,4
96,8,5
97,8,6
98,8,7
99,8,8
100,8,9
101,8,10
102,8,11
103,8,12
104,8,13
105,9,1
106,9,2
107,9,3
108,9,4
109,9,5
110,9,6
111,9,7
112,9,8
113,9,9
114,9,10
115,9,11
116,9,12
117,9,13
118,10,1
119,10,2
120,10,3
121,10,4
122,10,5
123,10,6
124,10,7
125,10,8
126,10,9
127,10,10
128,10,11
129,10,12
130,10,13
131,11,1
132,11,2
133,11,3
134,11,4
135,11,5
136,11,6
137,11,7
138,11,8
139,11,9
140,11,10
141,11,11
142,11,12
143,11,13
