,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,2,1
48,2,2
49,2,3
50,2,4
51,2,5
52,2,6
53,2,7
54,2,8
55,2,9
56,2,10
57,2,11
58,2,12
59,2,13
60,2,14
61,2,15
62,2,16
63,2,17
64,2,18
65,2,19
66,2,20
67,2,21
68,2,22
69,2,23
70,2,24
71,2,25
72,2,26
73,2,27
74,2,28
75,2,29
76,2,30
77,2,31
78,2,32
79,2,33
80,2,34
81,2,35
82,2,36
83,2,37
84,2,38
85,2,39
86,2,40
87,2,41
88,2,42
89,2,43
90,2,44
91,2,45
92,2,46
93,3,1
94,3,2
95,3,3
96,3,4
97,3,5
98,3,6
99,3,7
100,3,8
101,3,9
102,3,10
103,3,11
104,3,12
105,3,13
106,3,14
107,3,15
108,3,16
109,3,17
110,3,18
111,3,19
112,3,20
113,3,21
114,3,22
115,3,23
116,3,24
117,3,25
118,3,26
119,3,27
120,3,28
121,3,29
122,3,30
123,3,31
124,3,32
125,3,33
126,3,34
127,3,35
128,3,36
129,3,37
130,3,38
131,3,39
132,3,40
133,3,41
134,3,42
135,3,43
136,3,44
137,3,45
138,3,46
