,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,2,1
18,2,2
19,2,3
20,2,4
21,2,5
22,2,6
23,2,7
24,2,8
25,2,9
26,2,10
27,2,11
28,2,12
29,2,13
30,2,14
31,2,15
32,2,16
33,3,1
34,3,2
35,3,3
36,3,4
37,3,5
38,3,6
39,3,7
40,3,8
41,3,9
42,3,10
43,3,11
44,3,12
45,3,13
46,3,14
47,3,15
48,3,16
49,4,1
50,4,2
51,4,3
52,4,4
53,4,5
54,4,6
55,4,7
56,4,8
57,4,9
58,4,10
59,4,11
60,4,12
61,4,13
62,4,14
63,4,15
64,4,16
65,5,1
66,5,2
67,5,3
68,5,4
69,5,5
70,5,6
71,5,7
72,5,8
73,5,9
74,5,10
75,5,11
76,5,12
77,5,13
78,5,14
79,5,15
80,5,16
