"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","1","1","2","1","2","1","2","1","1","2","1","2","2","1","2","2","1","2","1","2","1","2","2","1","2","1","2","1","2","1","2","1","2","2","1","2","1","1","2","1","1","2","1","2","1","2","1","1","2","1","2","2","1","2","1","2","1","2","2","1","2","1","1","2","1","1","2","1","2","1","2","1","1","2","1","2","3","3","3","1"
"12","1","2","1","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","2","4","1"
"13","1","2","2","1","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","1","2","1","1","2","1","2","2","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","1","2","3","3","3","2"
"14","2","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","2","1","1","1","2","1","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","2","1","1","1","2","4","1","3","4","6"
"15","1","2","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","2","2","1","1","1","1","2","1","2","2","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","2","2","1","1","1","1","2","1","2","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","1","2","4","3","4","3","5"
"16","2","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","1","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","2","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","2","4","1","1","3"
"17","1","1","2","1","2","2","2","2","1","1","1","2","1","2","1","1","2","2","2","2","2","1","1","1","1","1","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","2","2","3","2","3","7"
"18","2","1","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","1","1","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","1","2","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","2","2","2","2","1","2","1","1","1","2","1","3","3"
"19","1","1","1","1","2","1","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","1","2","1","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","4","3","4","1","3"
"20","2","2","2","1","2","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","1","1","2","2","1","2","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","1","2","2","4","4","3","4","2"
"21","1","2","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","2","2","2","2","1","2","1","1","1","1","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","2","3","3","3","3"
"22","2","2","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","2","2","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","3","4","4","4"
"23","2","2","2","1","1","2","2","2","1","2","2","1","1","2","1","1","1","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","1","2","2","1","1","2","1","2","1","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","1","2","2","1","1","2","1","3","2","3","4","7"
"24","1","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","1","2","1","1","2","2","2","2","1","1","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","1","2","1","1","2","2","2","2","1","1","1","2","2","1"
"25","1","2","2","2","2","1","1","1","1","1","2","1","1","1","2","1","2","2","2","2","1","1","2","1","2","2","1","1","1","1","2","2","2","2","2","1","2","2","2","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","1","1","1","1","1","2","1","1","1","2","1","2","2","2","2","1","1","2","1","2","1","4","2","2","2"
"26","2","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","1","2","1","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","1","2","2","4","1","3","5"
"27","1","1","2","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","1","1","1","2","2","1","2","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","1","1","1","1","2","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","1","1","1","2","2","1","1","3","4","3"
"28","2","1","2","2","2","2","1","2","1","1","2","2","2","1","1","2","1","1","2","2","1","1","2","2","1","1","1","2","2","2","2","1","2","1","1","2","2","2","1","1","2","1","1","2","2","1","1","2","2","1","1","1","2","2","2","2","1","2","1","1","2","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","4","4","2","4"
"29","2","2","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1","2","2","2","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1","2","2","2","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1","2","2","1","1","1","6"
"30","2","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","2","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","1","3","4","4","1"
"31","2","2","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","1","1","1","2","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","1","1","2","2","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","1","1","2","4","1","4","3"
"32","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","2","1","1","1","7"
"33","2","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1","2","1","2","1","1","2","2","2","2","2","1","1","1","1","1","2","4","3","7"
"34","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","2","2","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1","2","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","4","3","1","6"
"35","2","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","1","2","1","1","2","2","2","2","1","3","2","3","2","1"
"36","1","2","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","1","1","2","1","1","2","2","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","2","1","1","2","2","1","2","2","1","1","2","2","2","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","1","1","2","1","1","2","2","1","1","4","2","2","5"
"37","2","2","1","2","2","1","2","1","1","2","2","2","1","2","1","1","1","1","1","2","2","1","2","1","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","2","2","2","2","2","1","1","2","1","2","2","1","2","1","2","2","1","2","1","1","2","2","2","1","2","1","1","1","1","1","2","2","1","2","1","1","4","1","3","3","6"
"38","2","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","2","4","4","4","5"
"39","2","1","2","2","1","1","2","1","1","1","1","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","2","1","1","2","2","1","2","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1","1","1","2","1","1","2","2","1","2","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1","1","3","3","2","1","5"
"40","1","2","2","2","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","2","2","1","1","2","2","2","2","2","3","2","3"
"41","1","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","1","2","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","1","2","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","1","3","1","1","4","2"
"42","2","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1","2","1","2","1","1","2","2","2","2","2","1","1","1","1","1","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","2","2","2","4","4","3","3","7"
"43","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","1","1","2","1","1","2","1","1","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","1","1","2","1","1","2","1","1","1","1","1","2","4","5"
"44","1","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","2","1","1","2","2","2","1","2","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","2","1","1","1","2","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","2","1","1","1","2","2","2","2","4","6"
"45","2","1","1","1","1","2","2","2","2","2","1","2","2","2","1","2","1","1","1","1","2","2","1","2","1","1","2","2","2","2","1","1","1","1","1","2","1","1","1","2","1","2","2","2","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","2","1","1","1","2","1","2","2","2","2","1","1","2","1","2","3","3","3","2","2"
"46","2","2","2","2","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","1","1","1","2","1","2","2","1","1","1","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","1","1","1","2","1","2","3","3","3","1","4"
"47","2","1","2","2","1","1","2","1","1","1","1","1","2","2","2","1","1","1","2","1","2","1","2","2","2","2","1","2","2","1","1","2","1","1","1","1","1","2","2","2","1","1","1","2","1","2","1","2","2","2","2","1","2","2","1","1","2","1","1","1","1","1","2","2","2","1","1","1","2","1","2","1","2","2","2","2","1","1","1","5"
"48","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","1","2","1","2","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","1","2","1","2","3","3","2","1","7"
"49","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","1","2","1","1"
"50","1","2","1","1","2","2","1","2","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1","1","1","2","1","1","2","2","1","2","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","1","2","2","1","1","2","1","1","1","1","1","2","2","2","1","1","1","2","1","2","1","2","2","2","4","2","4","1","5"
"51","2","2","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","2","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","4","1","3","4","4"
"52","1","2","1","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","2","1","2","2","2","2","1","2","1","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","2","1","2","2","2","2","3","1","4","3","4"
"53","1","1","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","1","2","2","1","1","2","1","2","1","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","1","2","2","1","1","2","1","1","2","2","1","1","2","2","2","1","2","2","1","1","2","1","1","1","2","2","1","1","2","2","1","2","4","3","1","4","7"
"54","1","2","2","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","2","2","1","4","2","4","2","6"
"55","1","1","2","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","1","1","1","2","2","2","2","1","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","1","1","4","3","4","4","3"
"56","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","2","1","1","2","1","1","2","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","1","1","2","1","2","2","1","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","2","1","1","2","4","1","2","2","7"
"57","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","2","2","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1","2","4","2","4","1","6"
"58","1","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","1","1","2","2","1","2","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","1","2","2","1","2","2","1","2","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","1","2","2","2","3","2","4","2"
"59","2","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","2","1","1","1","2","1","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","1","1","1","1","2","1","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","3","2","2","1","3"
"60","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","4","4","1","1"
"61","1","2","2","2","2","2","1","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","2","3","1","1","1","2"
"62","2","1","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","2","2","2","2","1","2","1","1","2","1","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","4","4","2","3","3"
"63","2","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","1","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","1","4","1","3","4","1"
"64","2","1","2","1","2","1","2","1","2","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","1","2","2","1","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","2","1","2","2","2","2","2","1","2","1","2","1","2","1","2","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","1","4","4","2","3","4"
"65","1","2","2","1","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","2","2","2","2","1","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","2","1","2","2","1","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","2","3","1","4","3","2"
"66","1","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","2","2","2","4","4"
"67","1","2","2","2","2","2","1","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","2","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","1","2","1","2","1","2","3","2","1","2"
"68","2","1","1","2","1","2","2","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","1","1","1","1","2","2","2","1","1","2","1","2","2","2","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","1","4","4","2","3","2"
"69","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","2","1","1","2","1","1","2","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","1","1","2","1","2","2","1","1","3","1","2","7"
"70","2","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","1","1","2","1","1","2","1","1","1","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","1","1","2","1","1","2","1","1","1","3","2","3","4","5"
"71","2","2","2","1","2","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","1","2","2","1","2","2","1","2","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","1","1","2","4","4","2"
"72","2","2","2","2","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","1","2","2","2","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","2","1","4","1","4"
"73","1","1","1","1","2","1","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","1","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","1","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","1","1","3","1","3"
"74","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","1","2","1","2","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","1","2","1","2","1","4","3","1","7"
"75","1","2","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","1","1","2","1","1","2","2","1","1","1","1","2","2","2","1","1","2","1","2","2","1","1","2","1","1","2","2","1","2","2","1","1","2","4","2","1","2","5"
"76","2","1","1","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","2","2","1","1","2","2","2","1","2","2","2","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","1","2","2","1","1","1","1","3","1","2","3"
"77","2","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","2","2","1","2","1","1","2","6"
"78","1","1","2","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","1","1","2","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","1","1","2","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","1","1","2","1","2","2","1","3","4","4","2","7"
"79","2","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","1","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","1","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","4","4","2","1"
"80","1","2","2","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","1","4","3","2","6"
"81","2","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","2","1","1","1","2","2","1","2","1","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","2","1","1","1","2","2","2","1","2","2","1","2","1","2","1","1","2","1","2","1","2","1","2","2","1","1","2","2","2","1","1","3","4","4","6"
"82","2","2","1","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1","2","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","2","1","2","2","1","1","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","3","3","2","1","6"
