,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,2,1
45,2,2
46,2,3
47,2,4
48,2,5
49,2,6
50,2,7
51,2,8
52,2,9
53,2,10
54,2,11
55,2,12
56,2,13
57,2,14
58,2,15
59,2,16
60,2,17
61,2,18
62,2,19
63,2,20
64,2,21
65,2,22
66,2,23
67,2,24
68,2,25
69,2,26
70,2,27
71,2,28
72,2,29
73,2,30
74,2,31
75,2,32
76,2,33
77,2,34
78,2,35
79,2,36
80,2,37
81,2,38
82,2,39
83,2,40
84,2,41
85,2,42
86,2,43
87,3,1
88,3,2
89,3,3
90,3,4
91,3,5
92,3,6
93,3,7
94,3,8
95,3,9
96,3,10
97,3,11
98,3,12
99,3,13
100,3,14
101,3,15
102,3,16
103,3,17
104,3,18
105,3,19
106,3,20
107,3,21
108,3,22
109,3,23
110,3,24
111,3,25
112,3,26
113,3,27
114,3,28
115,3,29
116,3,30
117,3,31
118,3,32
119,3,33
120,3,34
121,3,35
122,3,36
123,3,37
124,3,38
125,3,39
126,3,40
127,3,41
128,3,42
129,3,43
