,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,2,1
36,2,2
37,2,3
38,2,4
39,2,5
40,2,6
41,2,7
42,2,8
43,2,9
44,2,10
45,2,11
46,2,12
47,2,13
48,2,14
49,2,15
50,2,16
51,2,17
52,2,18
53,2,19
54,2,20
55,2,21
56,2,22
57,2,23
58,2,24
59,2,25
60,2,26
61,2,27
62,2,28
63,2,29
64,2,30
65,2,31
66,2,32
67,2,33
68,2,34
69,3,1
70,3,2
71,3,3
72,3,4
73,3,5
74,3,6
75,3,7
76,3,8
77,3,9
78,3,10
79,3,11
80,3,12
81,3,13
82,3,14
83,3,15
84,3,16
85,3,17
86,3,18
87,3,19
88,3,20
89,3,21
90,3,22
91,3,23
92,3,24
93,3,25
94,3,26
95,3,27
96,3,28
97,3,29
98,3,30
99,3,31
100,3,32
101,3,33
102,3,34
