,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,2,1
47,2,2
48,2,3
49,2,4
50,2,5
51,2,6
52,2,7
53,2,8
54,2,9
55,2,10
56,2,11
57,2,12
58,2,13
59,2,14
60,2,15
61,2,16
62,2,17
63,2,18
64,2,19
65,2,20
66,2,21
67,2,22
68,2,23
69,2,24
70,2,25
71,2,26
72,2,27
73,2,28
74,2,29
75,2,30
76,2,31
77,2,32
78,2,33
79,2,34
80,2,35
81,2,36
82,2,37
83,2,38
84,2,39
85,2,40
86,2,41
87,2,42
88,2,43
89,2,44
90,2,45
