,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,2,1
39,2,2
40,2,3
41,2,4
42,2,5
43,2,6
44,2,7
45,2,8
46,2,9
47,2,10
48,2,11
49,2,12
50,2,13
51,2,14
52,2,15
53,2,16
54,2,17
55,2,18
56,2,19
57,2,20
58,2,21
59,2,22
60,2,23
61,2,24
62,2,25
63,2,26
64,2,27
65,2,28
66,2,29
67,2,30
68,2,31
69,2,32
70,2,33
71,2,34
72,2,35
73,2,36
74,2,37
75,3,1
76,3,2
77,3,3
78,3,4
79,3,5
80,3,6
81,3,7
82,3,8
83,3,9
84,3,10
85,3,11
86,3,12
87,3,13
88,3,14
89,3,15
90,3,16
91,3,17
92,3,18
93,3,19
94,3,20
95,3,21
96,3,22
97,3,23
98,3,24
99,3,25
100,3,26
101,3,27
102,3,28
103,3,29
104,3,30
105,3,31
106,3,32
107,3,33
108,3,34
109,3,35
110,3,36
111,3,37
