,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,2,1
17,2,2
18,2,3
19,2,4
20,2,5
21,2,6
22,2,7
23,2,8
24,2,9
25,2,10
26,2,11
27,2,12
28,2,13
29,2,14
30,2,15
31,3,1
32,3,2
33,3,3
34,3,4
35,3,5
36,3,6
37,3,7
38,3,8
39,3,9
40,3,10
41,3,11
42,3,12
43,3,13
44,3,14
45,3,15
46,4,1
47,4,2
48,4,3
49,4,4
50,4,5
51,4,6
52,4,7
53,4,8
54,4,9
55,4,10
56,4,11
57,4,12
58,4,13
59,4,14
60,4,15
61,5,1
62,5,2
63,5,3
64,5,4
65,5,5
66,5,6
67,5,7
68,5,8
69,5,9
70,5,10
71,5,11
72,5,12
73,5,13
74,5,14
75,5,15
76,6,1
77,6,2
78,6,3
79,6,4
80,6,5
81,6,6
82,6,7
83,6,8
84,6,9
85,6,10
86,6,11
87,6,12
88,6,13
89,6,14
90,6,15
91,7,1
92,7,2
93,7,3
94,7,4
95,7,5
96,7,6
97,7,7
98,7,8
99,7,9
100,7,10
101,7,11
102,7,12
103,7,13
104,7,14
105,7,15
