,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,2,1
22,2,2
23,2,3
24,2,4
25,2,5
26,2,6
27,2,7
28,2,8
29,2,9
30,2,10
31,2,11
32,2,12
33,2,13
34,2,14
35,2,15
36,2,16
37,2,17
38,2,18
39,2,19
40,2,20
41,3,1
42,3,2
43,3,3
44,3,4
45,3,5
46,3,6
47,3,7
48,3,8
49,3,9
50,3,10
51,3,11
52,3,12
53,3,13
54,3,14
55,3,15
56,3,16
57,3,17
58,3,18
59,3,19
60,3,20
61,4,1
62,4,2
63,4,3
64,4,4
65,4,5
66,4,6
67,4,7
68,4,8
69,4,9
70,4,10
71,4,11
72,4,12
73,4,13
74,4,14
75,4,15
76,4,16
77,4,17
78,4,18
79,4,19
80,4,20
81,5,1
82,5,2
83,5,3
84,5,4
85,5,5
86,5,6
87,5,7
88,5,8
89,5,9
90,5,10
91,5,11
92,5,12
93,5,13
94,5,14
95,5,15
96,5,16
97,5,17
98,5,18
99,5,19
100,5,20
101,6,1
102,6,2
103,6,3
104,6,4
105,6,5
106,6,6
107,6,7
108,6,8
109,6,9
110,6,10
111,6,11
112,6,12
113,6,13
114,6,14
115,6,15
116,6,16
117,6,17
118,6,18
119,6,19
120,6,20
121,7,1
122,7,2
123,7,3
124,7,4
125,7,5
126,7,6
127,7,7
128,7,8
129,7,9
130,7,10
131,7,11
132,7,12
133,7,13
134,7,14
135,7,15
136,7,16
137,7,17
138,7,18
139,7,19
140,7,20
