,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,2,1
30,2,2
31,2,3
32,2,4
33,2,5
34,2,6
35,2,7
36,2,8
37,2,9
38,2,10
39,2,11
40,2,12
41,2,13
42,2,14
43,2,15
44,2,16
45,2,17
46,2,18
47,2,19
48,2,20
49,2,21
50,2,22
51,2,23
52,2,24
53,2,25
54,2,26
55,2,27
56,2,28
57,3,1
58,3,2
59,3,3
60,3,4
61,3,5
62,3,6
63,3,7
64,3,8
65,3,9
66,3,10
67,3,11
68,3,12
69,3,13
70,3,14
71,3,15
72,3,16
73,3,17
74,3,18
75,3,19
76,3,20
77,3,21
78,3,22
79,3,23
80,3,24
81,3,25
82,3,26
83,3,27
84,3,28
85,4,1
86,4,2
87,4,3
88,4,4
89,4,5
90,4,6
91,4,7
92,4,8
93,4,9
94,4,10
95,4,11
96,4,12
97,4,13
98,4,14
99,4,15
100,4,16
101,4,17
102,4,18
103,4,19
104,4,20
105,4,21
106,4,22
107,4,23
108,4,24
109,4,25
110,4,26
111,4,27
112,4,28
113,5,1
114,5,2
115,5,3
116,5,4
117,5,5
118,5,6
119,5,7
120,5,8
121,5,9
122,5,10
123,5,11
124,5,12
125,5,13
126,5,14
127,5,15
128,5,16
129,5,17
130,5,18
131,5,19
132,5,20
133,5,21
134,5,22
135,5,23
136,5,24
137,5,25
138,5,26
139,5,27
140,5,28
