,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,2,1
46,2,2
47,2,3
48,2,4
49,2,5
50,2,6
51,2,7
52,2,8
53,2,9
54,2,10
55,2,11
56,2,12
57,2,13
58,2,14
59,2,15
60,2,16
61,2,17
62,2,18
63,2,19
64,2,20
65,2,21
66,2,22
67,2,23
68,2,24
69,2,25
70,2,26
71,2,27
72,2,28
73,2,29
74,2,30
75,2,31
76,2,32
77,2,33
78,2,34
79,2,35
80,2,36
81,2,37
82,2,38
83,2,39
84,2,40
85,2,41
86,2,42
87,2,43
88,2,44
89,3,1
90,3,2
91,3,3
92,3,4
93,3,5
94,3,6
95,3,7
96,3,8
97,3,9
98,3,10
99,3,11
100,3,12
101,3,13
102,3,14
103,3,15
104,3,16
105,3,17
106,3,18
107,3,19
108,3,20
109,3,21
110,3,22
111,3,23
112,3,24
113,3,25
114,3,26
115,3,27
116,3,28
117,3,29
118,3,30
119,3,31
120,3,32
121,3,33
122,3,34
123,3,35
124,3,36
125,3,37
126,3,38
127,3,39
128,3,40
129,3,41
130,3,42
131,3,43
132,3,44
