,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,1,57
58,1,58
59,1,59
60,1,60
61,1,61
62,1,62
63,1,63
64,1,64
65,1,65
66,1,66
67,1,67
68,2,1
69,2,2
70,2,3
71,2,4
72,2,5
73,2,6
74,2,7
75,2,8
76,2,9
77,2,10
78,2,11
79,2,12
80,2,13
81,2,14
82,2,15
83,2,16
84,2,17
85,2,18
86,2,19
87,2,20
88,2,21
89,2,22
90,2,23
91,2,24
92,2,25
93,2,26
94,2,27
95,2,28
96,2,29
97,2,30
98,2,31
99,2,32
100,2,33
101,2,34
102,2,35
103,2,36
104,2,37
105,2,38
106,2,39
107,2,40
108,2,41
109,2,42
110,2,43
111,2,44
112,2,45
113,2,46
114,2,47
115,2,48
116,2,49
117,2,50
118,2,51
119,2,52
120,2,53
121,2,54
122,2,55
123,2,56
124,2,57
125,2,58
126,2,59
127,2,60
128,2,61
129,2,62
130,2,63
131,2,64
132,2,65
133,2,66
134,2,67
