,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,2,1
39,2,2
40,2,3
41,2,4
42,2,5
43,2,6
44,2,7
45,2,8
46,2,9
47,2,10
48,2,11
49,2,12
50,2,13
51,2,14
52,2,15
53,2,16
54,2,17
55,2,18
56,2,19
57,2,20
58,2,21
59,2,22
60,2,23
61,2,24
62,2,25
63,2,26
64,2,27
65,2,28
66,2,29
67,2,30
68,2,31
69,2,32
70,2,33
71,2,34
72,2,35
73,2,36
74,2,37
