"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"11","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","1","3","3","1","1","3","3","1","1","2","2","2","2","2","2","3","3","2","2","3","3","1","1","1","1","1","1","2","2","1","1","2","2","3","3","3","3","1","3"
"12","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","2","2"
"13","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3"
"14","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","1","2","1","2","3","1","3","2","2","1","1","3","3","2","3","1","2","3","2","1","1","3","3","2","2","1","2","3","1","2","1","3","3","2","2","1","1","3","3","2"
"15","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","1","1"
"16","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","2","3","3","3","3","1","1","2","2","3","3","1","1","2","2","2","2","3","3","1","1","2","2","3","3","1","1","1","1","2","2","3","3","1","2"
"17","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","1","2","2","3","3","2","2","3","3","1","1","1","1","1","1","2","2","1","1","2","2","3","3","3","3","3","3","1","1","3","3","1","1","2","2","2","2","1","3"
"18","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"19","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","1","1"
"20","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","1","2","2","2","2","3","3","1","1","3","3","1","1","3","3","3","3","1","1","2","2","1","1","2","2","1","1","1","1","2","2","3","3","2","2","3","3","2","3"
"21","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","3","2","2","1","3","1","2","3","2","1","1","3","2","1","1","3","2","3","1","2","1","3","3","2","1","3","3","2","1","2","3","1","3","2","2","1","1","2"
"22","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","3","1","3","2","2","3","2","1","1","2","1","3","2","3","2","1","1","2","1","3","3","1","3","2","1","2","1","3","3","1","3","2","2","3","2","1","3","1"
"23","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","2","2","2","3","2","1","1","2","1","3","3","1","3","2","3","1","3","2","2","3","2","1","1","2","1","3","1","2","1","3","3","1","3","2","2","3","2","1","1","1"
"24","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","1","3"
"25","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","1","2","2","3","1","2","3","1","2","3","1","2","3","1","1","2","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","2","3","1","2","3","1","2","2","3"
"26","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","2","1","3","1","3","2","3","3","2","1","2","2","3","2","1","2","1","3","1","1","3","2","3","3","1","3","2","3","2","1","2","2","1","3","1","2","1"
"27","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","2","2","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","3"
"28","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","2","2","3","3","3","3","1","1","2","2","1","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1","1","1","1","1","2","2","3","3","2","2","3","3","3","3"
"29","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","1","2","2","3","1","2","1","3","3","2","2","1","1","3","1","2","3","1","3","2","2","1","1","3","3","2","3","1","2","3","2","1","1","3","3","2","2","1","3","2"
"30","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","3","1"
"31","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","2","2","3","2","1","2","1","3","1","1","3","2","3","1","2","1","3","1","3","2","3","3","2","1","2","3","1","3","2","3","2","1","2","2","1","3","1","2","1"
"32","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","3","3","2","2","1","1","3","2","3","1","2","1","3","3","2","2","1","1","3","2","3","1","2","1","3","3","2","2","1","1","3","2","3","1","2","2","3"
"33","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","1","3","2","1","2","1","2","1","3","1","3","2","3","1","3","2","3","2","3","2","1","2","1","3","1","2","1","3","1","3","1","3","2","3","2","1","2","2","2"
"34","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"35","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","2","1","1","3","2","3","1","2","1","3","3","2","3","2","2","1","3","1","2","3","2","1","1","3","2","3"
"36","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","3"
"37","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","1","2","1","3","1","3","1","3","2","3","2","1","2","3","2","1","2","1","2","1","3","1","3","2","3","1","3","2","3","2","3","2","1","2","1","3","1","2","2"
"38","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","1","2","3","1","2","3","2","1","1","3","3","2","2","1","2","3","1","2","1","3","3","2","2","1","1","3","1","2","3","1","3","2","2","1","1","3","3","2","3","2"
"39","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","1","1","1","1","1","2","2","3","3","2","2","3","3","2","2","2","2","3","3","1","1","3","3","1","1","3","3","3","3","1","1","2","2","1","1","2","2","2","3"
"40","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","3","2","1","2","1","2","1","3","1","3","2","3","2","1","3","1","3","1","3","2","3","2","1","2","1","3","2","3","2","3","2","1","2","1","3","1","1","3"
"41","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","3"
"42","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","1","3","2","3","2","3","2","1","2","1","3","1","3","2","1","2","1","2","1","3","1","3","2","3","2","1","3","1","3","1","3","2","3","2","1","2","1","3"
"43","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","1","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","1"
"44","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","1","2","3","1","3","2","2","1","1","3","3","2","2","3","1","2","1","3","3","2","2","1","1","3","3","1","2","3","2","1","1","3","3","2","2","1","1","1"
"45","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","2","2","1","1","3","3","2","2","1","3","1","2","3","3","2","2","1","1","3","3","2","1","2","3","1","1","3","3","2","2","1","1","3","2","3","1","2","3","3"
"46","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","2","1","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","3","2"
"47","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","2","2","3","1","2","3","1","2","3","1","2","3","1","3","1","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","3","1"
"48","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","3","3"
"49","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","3","3","1","1","3","3","1","1","2","2","2","2","1","1","2","2","1","1","2","2","3","3","3","3","2","2","3","3","2","2","3","3","1","1","1","1","3","2"
"50","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","1"
"51","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","1","2","1","2","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","2","3","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","1","2","3"
"52","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","1","2","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"53","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","2","3","1","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","2","3","1","2","3","1","2","3","1","2","3","1","3","1"
"54","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","1","1","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","2","1"
"55","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","1","3","2","3","3","2","1","2","1","2","1","3","3","2","1","2","2","1","3","1","3","1","3","2","2","1","3","1","1","3","2","3","2","3","2","1","2","1"
"56","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","3","1","1","3","2","3","2","3","2","1","1","3","2","3","3","2","1","2","1","2","1","3","3","2","1","2","2","1","3","1","3","1","3","2","2","1"
"57","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","2","2","3","1","3","2","2","3","2","1","1","2","1","3","1","2","1","3","3","1","3","2","2","3","2","1","2","3","2","1","1","2","1","3","3","1","3","2","1","1"
"58","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","3","3","3","3","3","3","1","1","3","3","1","1","2","2","2","2","2","2","3","3","2","2","3","3","1","1","1","1","1","3"
"59","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","3","3"
"60","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","1","2"
"61","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","2","3","3","1","1","3","3","1","1","1","1","1","1","2","2","3","3","2","2","3","3","3","3","3","3","1","1","2","2","1","1","2","2","3","3"
"62","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","1","3","3","3","3","1","1","2","2","1","1","2","2","1","1","1","1","2","2","3","3","2","2","3","3","2","2","2","2","3","3","1","1","3","3","1","1","2","3"
"63","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","2","3","1","3","2","3","2","1","2","2","1","3","1","2","3","2","1","2","1","3","1","1","3","2","3","1","2","1","3","1","3","2","3","3","2","1","2","2","1"
"64","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","2","2"
"65","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","3","2","2","1","3","1","2","3","2","1","1","3","2","1","1","3","2","3","1","2","1","3","3","2","1","2"
"66","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","3","2","2","1","1","3","3","2","1","2","3","1","2","1","1","3","3","2","2","1","3","1","2","3","1","3","3","2","2","1","1","3","2","3","1","2","3","1"
"67","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","2","1","2","3","1","2","3","1","2","3","1","2","3","2","3","1","2","3","1","2","3","1","2","3","1","3","1","2","3","1","2","3","1","2","3","1","2","3","1"
"68","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","2","3","2","1","2","1","3","1","1","3","2","3","3","1","3","2","3","2","1","2","2","1","3","1","1","2","1","3","1","3","2","3","3","2","1","2","2","1"
"69","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","1","1","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","3"
"70","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","3","2","1","2","2","1","3","1","3","1","3","2","2","1","3","1","1","3","2","3","2","3","2","1","1","3","2","3","3","2","1","2","1","2","1","3","2","1"
"71","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","1"
"72","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","2","3","2","1","1","2","1","3","3","1","3","2","1","2","1","3","3","1","3","2","2","3","2","1","3","1","3","2","2","3","2","1","1","2","1","3","3","1"
"73","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","3"
"74","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","1","3"
"75","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","3","2","3","1","2","1","3","3","2","3","2","2","1","3","1","2","3","2","1","1","3","1","3","3","2","1","2","3","1","3","2","2","1","2","3"
"76","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","3","1","2","3","2","1","1","3","3","2","2","1","1","2","3","1","3","2","2","1","1","3","3","2","2","3","1","2","1","3","3","2","2","1","1","3","1","1"
"77","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","2","2","3","3","2","2","3","3","1","1","1","1","3","3","1","1","3","3","1","1","2","2","2","2","1","1","2","2","1","1","2","2","3","3","3","3","3","2"
"78","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","2","3"
"79","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","2","2","1","1","1","1","2","2","3","3","2","2","3","3","3","3","3","3","1","1","2","2","1","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1","3","3"
"80","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","2"
"81","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","2","1","3","1","3","1","3","2","3","2","1","2","1","3","2","3","2","3","2","1","2","1","3","1","3","2","1","2","1","2","1","3","1","3","2","3","1","3"
"82","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","2","1","1","3","3","2","2","1","3","1","2","3","1","3","3","2","2","1","1","3","2","3","1","2","3","2","2","1","1","3","3","2","1","2","3","1","3","1"
"83","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","3","1","3","2","3","2","1","2","2","1","3","1","1","2","1","3","1","3","2","3","3","2","1","2","2","3","2","1","2","1","3","1","1","3","2","3","2","1"
"84","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","2","2","1","2","1","3","3","1","3","2","2","3","2","1","2","3","2","1","1","2","1","3","3","1","3","2","3","1","3","2","2","3","2","1","1","2","1","3","1","1"
"85","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","1","1","2","1","3","1","1","3","2","3","2","3","2","1","2","1","3","1","1","3","2","3","2","3","2","1","2","1","3","1","1","3","2","3","2","3","2","1","3","3"
"86","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","2","2"
"87","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","3","2","1","2","2","1","3","1","3","1","3","2","1","3","2","3","3","2","1","2","1","2","1","3","2","1","3","1","1","3","2","3","2","3","2","1","1","2"
"88","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","2","3","1","2","1","3","3","2","2","1","1","3","3","1","2","3","2","1","1","3","3","2","2","1","1","2","3","1","3","2","2","1","1","3","3","2","1","1"
"89","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","1","3","2","3","3","2","1","2","1","2","1","3","2","1","3","1","1","3","2","3","2","3","2","1","3","2","1","2","2","1","3","1","3","1","3","2","1","2"
"90","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","1","1","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","2","1"
"91","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","1","1","3","2","3","2","3","2","1","2","1","3","1","2","1","3","1","3","1","3","2","3","2","1","2","3","2","1","2","1","2","1","3","1","3","2","3","2","2"
"92","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","3","3","3","3","2","2"
"93","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","1","1","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","3","3"
"94","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","2","2"
"95","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","2","1","3","3","2","2","1","1","3","2","3","1","2","2","1","1","3","3","2","2","1","3","1","2","3","3","2","2","1","1","3","3","2","1","2","3","1","3","3"
"96","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","3","2","2","1","3","1","2","3","2","1","1","3","1","3","3","2","1","2","3","1","3","2","2","1","2","1","1","3","2","3","1","2","1","3","3","2","2","3"
"97","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","1","3","2","3","2","3","2","1","2","1","3","1","1","3","2","3","2","3","2","1","2","1","3","1","1","3","2","3","2","3","2","1","2","1","3","1","1","1"
"98","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","3","1"
"99","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","2"
"100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"101","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","2","3","2","2","1","1","3","3","2","1","2","3","1","1","3","3","2","2","1","1","3","2","3","1","2","2","1","1","3","3","2","2","1","3","1","2","3","3","3"
"102","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","2","1","3","1","1","3","2","3","2","3","2","1","3","2","1","2","2","1","3","1","3","1","3","2","1","3","2","3","3","2","1","2","1","2","1","3","1","2"
"103","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","1","2","3","1","2","3","1","2","3","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","1","1","2","3","1","2","3","1","2","3","1","2","3","2","3"
"104","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","2","1","3","3","1","1","2","2","2","2","3","3","1","1","2","2","3","3","1","1","1","1","2","2","3","3","1","1","2","2","3","3","3","3","1","1","2","2","1","2"
"105","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1","3","1","3","2","3","3","2","1","2","3","1","3","2","3","2","1","2","2","1","3","1","2","3","2","1","2","1","3","1","1","3","2","3","2","1"
"106","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2"
"107","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","1","1","2","2","1","1","2","2","3","3","3","3","2","2","3","3","2","2","3","3","1","1","1","1","3","3","1","1","3","3","1","1","2","2","2","2","3","2"
"108","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","1","3","3","2","2","1","1","3","2","3","1","2","3","2","2","1","1","3","3","2","1","2","3","1","2","1","1","3","3","2","2","1","3","1","2","3","3","1"
